Blog	older	mention	showing	country	albums	service	page	include	point	real	mentioned	perfect	should	moment	round	wonder	pretty	piece	actually	others	eric	thinking	turned	asked	powerful	ocean	seems	radio	hasn	theme	grimes	maybe	mark	creating	audience	dr	missing	those	via	cannot	fi	law	laughing	hot	continue	mso	saturday	board	similar	fell	forget	history	winter	successful	pop	explore	dream	les	isn	picked	men	various	least	fine	including	nor	small	limited	pictures	incredible	alone	younger	knows	nearly	previous	aware	falls	roots	evening	deal	film	somewhat	within	comes	double	worked	wild	started	perhaps	hurt	bands	slightly	green	range	theater	america	falling	king	parts	coffee	kicking	co	shake	death	thanks	several	german	hop	youtube	count	confident	loving	internet	someone	anyone	goal	punk	fiction	points	sent	cool	nick	return	gun	become	welcome	stage	society	pt	cities	brothers	further	face	fall	throughout	using	recording	among	lord	changing	giant	soon	eye	himself	cancer	continues	together	order	star	hat	sin	full	mom	useful	tune	hold	talk	edition	though	third	hook	regret	nd	god	tengo	pay	september	silver	child	eventually	entire	cast	twice	strange	weird	midnight	richard	difficult	eating	lead	accept	call	pre	lose	dum	cry	ride	industry	possible	imagine	broken	opens	gave	l	wolf	decade	wind	understand	otherwise	since	simply	tonight	original	golden	waste	strong	result	final	neighborhood	able	working	concert	why	recent	known	ultimately	media	formed	sam	words	terms	relationships	haven	its	human	break	happened	questions	la	excellent	describe	likes	everywhere	please	official	proud	seemed	guy	source	vision	cat	town	drunk	orange	straight	hair	scream	festival	truly	tell	string	missed	require	sunday	bass	played	business	driving	moore	hopefully	fit	second	easy	sleep	lovely	notice	indie	plan	title	couple	tree	listening	close	rise	easily	father	john	slow	cut	critical	stupid	bar	knowing	yet	approach	watching	effect	news	worth	guys	impossible	club	feels	plus	picture	prince	worse	carry	entirely	believe	learning	twenty	forever	running	question	deep	los	natural	miss	received	involved	changes	character	hate	challenge	system	door	stuff	use	extra	u	week	finally	awesome	set	personal	feature	nyc	shot	latin	production	inside	form	feet	without	sky	yourself	brand	clear	steps	h	enough	direction	chorus	damn	kid	ears	based	appearance	keys	psychedelic	acts	help	politics	brother	c	royal	name	dead	light	hits	towards	david	sons	indeed	dreams	moments	q	summer	present	wire	learn	current	beyond	notes	looked	saying	half	promise	nice	february	complete	exciting	youth	ready	london	fully	yes	create	fun	list	bowie	language	finding	grace	bill	featuring	wedding	game	school	version	taste	thoughts	tv	becomes	phase	win	faith	lost	p	font	listen	moon	shows	rhythm	photos	needed	yellow	kiss	problem	collective	jeff	quiet	such	traditional	often	closing	bloody	doesn	warm	streets	video	thought	ask	nobody	making	both	dude	included	sometimes	cold	general	sings	dawn	class	usa	era	wine	realized	latest	trying	lake	leaving	ok	certain	candy	vocals	secret	events	culture	group	super	left	river	mortal	fantastic	weeks	voice	andrew	car	nine	pure	mac	physical	features	low	holiday	silent	legendary	tales	drive	remember	background	em	learned	epic	children	smart	start	calls	side	cover	whatever	sister	line	interest	coming	less	team	material	ascii
The World's First Internet Baby	1	3	0	10	29	0	0	0	13	8	3	8	6	2	1	2	4	4	13	1	2	1	7	0	1	0	2	6	1	1	0	3	0	0	7	1	2	17	2	0	4	0	0	4	8	0	2	0	3	0	2	11	0	9	24	0	1	1	9	2	4	3	10	2	5	1	4	0	0	0	5	0	0	3	11	0	2	3	0	4	7	0	1	8	4	1	3	6	13	0	5	6	0	6	0	17	0	0	0	0	0	1	0	11	1	9	0	5	0	0	3	0	0	4	0	0	18	2	0	0	1	0	4	1	6	0	7	2	0	0	0	2	3	4	4	0	16	7	0	2	0	9	2	6	0	1	8	0	5	1	0	10	0	0	1	2	3	0	11	7	1	0	0	3	0	1	0	7	3	2	0	1	1	0	1	0	2	1	0	14	0	2	3	0	0	2	1	1	0	5	0	2	2	2	2	13	4	3	0	8	5	1	8	1	0	11	2	7	1	3	3	1	4	0	7	7	2	3	1	6	7	1	1	72	0	0	1	2	2	2	1	2	0	2	0	0	6	7	0	1	1	2	1	0	5	4	0	0	7	1	3	0	0	0	3	7	2	1	0	0	3	10	0	1	1	1	4	0	17	2	0	3	7	2	3	3	10	0	3	7	0	1	1	14	0	0	3	3	2	1	1	1	5	3	1	0	3	0	5	3	0	0	1	2	1	1	3	1	0	3	1	1	5	1	0	2	1	2	3	0	4	1	1	0	6	3	0	0	4	1	8	2	7	1	12	1	1	1	4	0	2	9	3	6	1	2	1	1	2	0	2	6	4	0	1	2	0	7	9	9	4	5	7	0	3	0	2	2	1	2	0	0	2	1	2	1	5	11	1	0	1	1	0	0	5	9	4	2	1	5	3	18	0	1	1	1	1	0	7	3	10	0	1	4	0	1	0	2	4	1	0	1	0	0	4	1	2	0	1	0	1	0	2	8	6	10	6	0	6	3	1	1	3	1	2	8	16	0	0	2	6	5	3	3	1	0	11	0	0	2	0	0	2	0	1	2	1	0	0	2	39	6	7	2	0	3	1	9	0	1	2	0	0	0	4	8	0	0	2	0	1	1	1	2	0	1	1	0	1	0	14	4	1	3	4	0	7	10	1	15	0
adrianoblog	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
A Wife's Tale	4	7	4	5	0	1	6	3	22	23	2	20	35	14	5	3	26	4	34	9	0	12	5	8	1	1	6	0	5	0	0	25	5	0	0	2	4	39	0	16	0	2	4	3	4	0	0	4	2	2	12	3	2	0	1	1	2	0	12	2	3	5	8	7	3	2	7	3	7	2	6	2	7	4	2	4	1	0	1	7	0	1	2	13	3	2	2	12	7	4	0	1	1	0	0	1	0	1	5	4	1	0	0	12	5	10	2	3	0	2	2	9	3	15	11	6	0	0	1	1	2	0	0	5	12	0	2	3	1	0	0	5	11	12	2	1	1	2	4	4	1	11	4	5	1	7	17	0	5	4	0	13	5	0	1	10	17	1	35	9	0	11	0	60	0	14	3	0	29	9	13	0	4	5	12	1	0	3	3	3	3	16	0	4	0	3	4	0	7	16	10	1	10	3	0	0	1	10	5	35	2	3	0	1	3	7	0	3	1	17	14	2	21	1	14	0	1	0	0	12	4	1	9	0	8	10	12	7	0	0	3	3	2	5	0	3	2	10	2	0	1	4	0	0	0	6	0	1	19	32	0	1	3	0	0	0	1	1	0	3	8	15	6	14	1	3	0	8	1	6	5	1	5	2	2	22	0	3	3	1	4	1	4	15	0	9	3	7	6	13	0	3	6	1	3	6	7	7	3	25	7	2	6	3	5	0	0	5	2	3	8	5	2	9	1	1	6	8	11	5	0	27	19	24	7	5	0	2	2	0	0	5	1	2	32	2	11	0	4	2	1	7	3	0	1	12	2	0	3	0	0	1	17	0	9	6	9	27	7	6	1	0	0	0	2	7	18	2	4	1	0	14	2	4	0	11	9	5	7	5	2	2	2	2	5	20	4	18	0	11	13	0	2	6	1	1	1	4	5	7	0	2	3	2	6	5	0	10	9	0	0	3	1	2	0	9	5	3	6	3	0	1	2	16	1	31	2	0	32	3	4	1	29	16	2	12	7	5	0	15	4	4	1	0	2	0	0	0	4	0	6	2	6	3	3	1	0	3	5	3	5	5	14	3	3	2	33	4	0	14	0	4	0	7	1	5	0	1	0	1	2	36	2	0	15	10	10	3	21	4	14	0	13	10	8	5	17	12	4	3	0
Room 19's Blog 2016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	2	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	2	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	4	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0
FlowRadio Playlists (and Blog)	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	3	4	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	3	0	0	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	1	0	0	0	0	0	14	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0	1	1	0	0	1	5	2	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
*Sixeyes: by Alan Williamson	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	2	1	1	0	4	3	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	3	0	0	1	2	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	14	0	1	1	0	0	3	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	1	0	1	4	0	0	0	0	0	3	0	1	1	0	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0
The Campus Buzz on WSOU	0	0	0	0	1	0	0	0	0	0	0	1	0	2	3	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	7	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	5	0	7	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	2	0	0	1	0	1	0	0	0	0	1	3	0	0	0	8	9	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	4	4	0	0	1	0	2	5	0	0	5	0	0	0	1	0	0	0	3	0	0	0	0	1	4	1	1	0	0	2	0	2	0	0	0	0	0	0	0	0	1	3	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	3	0	0	2	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	4	1	0	0	0	0	1	0	0	3	0	2	0	0	0	1	0	0	0	0	1	0	3	1	0	11	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	2	3	3	0	0	2	0	0	0	1	0	1	0	0	0	0	0	1	4	2	0	0	0	2	1	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	1	0	0	7	0	0	0	0	0	0	1	0	0	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0	1	0	0	0	1	0	0	0	1	0	0	0	2	3	0	3	1	3	3	0	0	2	0	0	0	0	0	3	0	0	0	1	0	0	0	0	2	2	0	0	1	0	5	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	4	2	0	0	2	0	0	0	0	0	0	0	1	4	0	2	0	0	0	1	0	2	1	2	1	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	7	0	0	0	1	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	13	0	1	0	0	0	3	1	0	4	1	1	0	2	0	2	0	0	2	0	0	0	0	0	0	0	2	0	0	0	1	0	2	0	1	0	0	0	0
IoTube     :)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Encore	1	2	0	3	1	0	2	1	4	2	0	4	4	3	0	1	7	14	0	2	0	0	1	0	2	0	1	4	2	0	0	1	7	1	2	0	1	6	4	0	2	0	0	8	5	0	0	0	1	0	0	6	0	3	28	0	5	0	2	2	1	1	0	1	1	1	2	0	3	2	1	0	1	1	7	0	0	2	1	0	0	0	6	4	1	0	0	0	2	0	12	0	0	0	0	6	0	0	0	0	3	0	2	3	1	0	0	2	0	0	3	2	0	1	2	0	9	1	0	0	3	0	3	0	1	2	9	0	0	0	0	8	2	2	1	0	2	0	1	1	0	8	0	2	1	5	7	5	1	0	0	4	0	0	6	1	3	0	4	1	3	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	3	0	7	0	2	0	0	0	0	0	2	1	0	0	1	1	1	2	1	0	0	0	7	2	5	4	2	0	5	0	3	0	0	1	0	1	2	0	1	1	3	0	2	0	0	1	1	2	2	0	0	0	6	0	5	1	0	1	1	0	1	0	0	1	1	0	0	3	2	1	12	1	3	3	0	0	0	5	1	0	5	0	2	0	4	3	6	1	0	10	0	5	1	0	2	2	6	2	1	0	5	1	0	0	2	0	8	0	0	0	11	2	2	0	6	4	0	0	0	0	0	1	2	0	4	2	4	0	1	0	2	0	0	0	1	0	0	0	0	2	0	0	0	3	8	6	5	19	2	1	0	0	0	3	2	2	1	2	0	0	4	1	0	0	2	1	11	2	1	0	2	1	1	0	3	5	0	0	0	0	13	2	11	0	2	9	0	6	2	0	0	2	1	0	0	1	3	1	1	0	0	1	0	0	6	7	1	5	1	0	2	2	1	4	18	0	1	0	2	1	0	2	2	0	0	0	0	0	0	0	1	4	0	0	4	1	3	2	0	0	0	1	0	0	0	0	7	0	4	2	0	2	2	1	4	3	0	0	4	4	0	1	0	1	3	0	9	7	0	5	0	0	6	0	0	1	0	1	0	10	0	2	0	3	0	6	0	0	1	0	4	0	0	0	4	0	1	0	3	1	0	0	5	0	1	0	0	0	0	0	0	6	0	3	2	0	3	3	0	5	1	3	2	0
A2 MEDIA COURSEWORK JOINT BLOG	0	0	0	0	0	0	2	1	1	1	0	0	0	0	2	0	0	3	1	0	0	0	0	0	0	0	1	0	2	0	0	0	1	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	6	0	1	0	1	5	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	2	2	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	1	0	5	0	0	0	1	16	0	0	1	0	0	1	0	1	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	2	2	2	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	13	1	0	1	0	4	0	4	0	0	3	0	0	0	17	0	0	0	1	0	4	0	0	0	0	0	1	5	1	0	1	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	12	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	13	0	2	0	0	0	1	0	0	1	0	2	0	4	0	0	0	0	1	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	2	1	7	0	0	2	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	16	5	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	14	0	2	0	0	0	3	0	1	31	0	0	0	1	0	0	0	0	0
One Stunning Single Egg	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Floorshime Zipper Boots	1	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	1	2	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	3	1	0	0	0	0	0	0	0	2	0	5	2	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	1	0	0	0	0	0	3	0	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	12	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	5	0	0	4	0	0	0	0	3	2	0	0	0	3	0	0	0	0	1	0	0	0	0	0	1	0	0	1	4	0	8	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	4	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	3	0	0	0	0
